127.0.0.1 - - [14/Mar/2025:12:02:02 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Mar/2025:12:02:03 +0530] "GET /hotel_mgt_new/Admin/AdminLogin.jsp HTTP/1.1" 200 1220
0:0:0:0:0:0:0:1 - - [14/Mar/2025:12:02:04 +0530] "GET /hotel_mgt_new/Admin/StyleSheets/SignUpAndLogin.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [14/Mar/2025:12:02:04 +0530] "GET /hotel_mgt_new/Admin/styles.css HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [14/Mar/2025:12:02:04 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [14/Mar/2025:12:03:22 +0530] "POST /hotel_mgt_new/AdminLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2025:12:03:23 +0530] "GET /hotel_mgt_new/Admin/Admindashboard.jsp HTTP/1.1" 500 3672
0:0:0:0:0:0:0:1 - - [14/Mar/2025:12:12:07 +0530] "GET /hotel_mgt_new/Admin/Admindashboard.jsp HTTP/1.1" 200 18540
0:0:0:0:0:0:0:1 - - [14/Mar/2025:12:12:17 +0530] "POST /hotel_mgt_new/DeleteUserServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2025:12:12:17 +0530] "GET /hotel_mgt_new/Admin/Admindashboard.jsp?success=true HTTP/1.1" 200 17996
0:0:0:0:0:0:0:1 - - [14/Mar/2025:12:13:51 +0530] "GET /hotel_mgt_new/Admin/Admindashboard.jsp?success=true HTTP/1.1" 200 18324
0:0:0:0:0:0:0:1 - - [14/Mar/2025:12:13:51 +0530] "GET /hotel_mgt_new/Admin/Admindashboard.jsp?success=true HTTP/1.1" 200 18324
0:0:0:0:0:0:0:1 - - [14/Mar/2025:12:14:52 +0530] "GET /hotel_mgt_new/Admin/Admindashboard.jsp?success=true HTTP/1.1" 200 18337
0:0:0:0:0:0:0:1 - - [14/Mar/2025:12:16:20 +0530] "GET /hotel_mgt_new/Admin/Admindashboard.jsp?success=true HTTP/1.1" 200 18343
